,date,count
0,1998-06-01 22:00:01,11
1,1998-06-01 22:00:02,5
2,1998-06-01 22:00:03,5
3,1998-06-01 22:00:04,8
4,1998-06-01 22:00:05,5
5,1998-06-01 22:00:06,7
6,1998-06-01 22:00:07,16
7,1998-06-01 22:00:08,9
8,1998-06-01 22:00:09,9
9,1998-06-01 22:00:10,13
10,1998-06-01 22:00:11,8
11,1998-06-01 22:00:12,11
12,1998-06-01 22:00:13,13
13,1998-06-01 22:00:14,19
14,1998-06-01 22:00:15,14
15,1998-06-01 22:00:16,22
16,1998-06-01 22:00:17,30
17,1998-06-01 22:00:18,47
18,1998-06-01 22:00:19,72
19,1998-06-01 22:00:20,76
20,1998-06-01 22:00:21,68
21,1998-06-01 22:00:22,75
22,1998-06-01 22:00:23,64
23,1998-06-01 22:00:24,64
24,1998-06-01 22:00:25,51
25,1998-06-01 22:00:26,61
26,1998-06-01 22:00:27,56
27,1998-06-01 22:00:28,58
28,1998-06-01 22:00:29,84
29,1998-06-01 22:00:30,87
30,1998-06-01 22:00:31,64
31,1998-06-01 22:00:32,63
32,1998-06-01 22:00:33,56
33,1998-06-01 22:00:34,49
34,1998-06-01 22:00:35,50
35,1998-06-01 22:00:36,45
36,1998-06-01 22:00:37,48
37,1998-06-01 22:00:38,61
38,1998-06-01 22:00:39,75
39,1998-06-01 22:00:40,66
40,1998-06-01 22:00:41,68
41,1998-06-01 22:00:42,68
42,1998-06-01 22:00:43,74
43,1998-06-01 22:00:44,68
44,1998-06-01 22:00:45,66
45,1998-06-01 22:00:46,52
46,1998-06-01 22:00:47,58
47,1998-06-01 22:00:48,60
48,1998-06-01 22:00:49,57
49,1998-06-01 22:00:50,59
50,1998-06-01 22:00:51,64
51,1998-06-01 22:00:52,63
52,1998-06-01 22:00:53,61
53,1998-06-01 22:00:54,57
54,1998-06-01 22:00:55,44
55,1998-06-01 22:00:56,65
56,1998-06-01 22:00:57,69
57,1998-06-01 22:00:58,63
58,1998-06-01 22:00:59,56
59,1998-06-01 22:01:00,53
60,1998-06-01 22:01:01,62
61,1998-06-01 22:01:02,70
62,1998-06-01 22:01:03,52
63,1998-06-01 22:01:04,64
64,1998-06-01 22:01:05,59
65,1998-06-01 22:01:06,75
66,1998-06-01 22:01:07,66
67,1998-06-01 22:01:08,71
68,1998-06-01 22:01:09,78
69,1998-06-01 22:01:10,80
70,1998-06-01 22:01:11,69
71,1998-06-01 22:01:12,59
72,1998-06-01 22:01:13,60
73,1998-06-01 22:01:14,64
74,1998-06-01 22:01:15,59
75,1998-06-01 22:01:16,64
76,1998-06-01 22:01:17,63
77,1998-06-01 22:01:18,71
78,1998-06-01 22:01:19,61
79,1998-06-01 22:01:20,62
80,1998-06-01 22:01:21,71
81,1998-06-01 22:01:22,60
82,1998-06-01 22:01:23,67
83,1998-06-01 22:01:24,69
84,1998-06-01 22:01:25,85
85,1998-06-01 22:01:26,74
86,1998-06-01 22:01:27,73
87,1998-06-01 22:01:28,79
88,1998-06-01 22:01:29,60
89,1998-06-01 22:01:30,82
90,1998-06-01 22:01:31,85
91,1998-06-01 22:01:32,78
92,1998-06-01 22:01:33,68
93,1998-06-01 22:01:34,74
94,1998-06-01 22:01:35,63
95,1998-06-01 22:01:36,65
96,1998-06-01 22:01:37,70
97,1998-06-01 22:01:38,51
98,1998-06-01 22:01:39,57
99,1998-06-01 22:01:40,54
100,1998-06-01 22:01:41,79
