,date,count
0,1998-05-31 22:00:01,12
1,1998-05-31 22:00:02,5
2,1998-05-31 22:00:03,9
3,1998-05-31 22:00:04,7
4,1998-05-31 22:00:05,8
5,1998-05-31 22:00:06,12
6,1998-05-31 22:00:07,14
7,1998-05-31 22:00:08,16
8,1998-05-31 22:00:09,12
9,1998-05-31 22:00:10,15
10,1998-05-31 22:00:11,11
11,1998-05-31 22:00:12,16
12,1998-05-31 22:00:13,15
13,1998-05-31 22:00:14,15
14,1998-05-31 22:00:15,11
15,1998-05-31 22:00:16,8
16,1998-05-31 22:00:17,20
17,1998-05-31 22:00:18,31
18,1998-05-31 22:00:19,45
19,1998-05-31 22:00:20,36
20,1998-05-31 22:00:21,35
21,1998-05-31 22:00:22,49
22,1998-05-31 22:00:23,50
23,1998-05-31 22:00:24,68
24,1998-05-31 22:00:25,45
25,1998-05-31 22:00:26,53
26,1998-05-31 22:00:27,40
27,1998-05-31 22:00:28,57
28,1998-05-31 22:00:29,41
29,1998-05-31 22:00:30,30
30,1998-05-31 22:00:31,34
31,1998-05-31 22:00:32,31
32,1998-05-31 22:00:33,43
33,1998-05-31 22:00:34,51
34,1998-05-31 22:00:35,38
35,1998-05-31 22:00:36,35
36,1998-05-31 22:00:37,31
37,1998-05-31 22:00:38,32
38,1998-05-31 22:00:39,41
39,1998-05-31 22:00:40,36
40,1998-05-31 22:00:41,48
41,1998-05-31 22:00:42,38
42,1998-05-31 22:00:43,36
43,1998-05-31 22:00:44,25
44,1998-05-31 22:00:45,45
45,1998-05-31 22:00:46,44
46,1998-05-31 22:00:47,39
47,1998-05-31 22:00:48,39
48,1998-05-31 22:00:49,44
49,1998-05-31 22:00:50,47
50,1998-05-31 22:00:51,37
51,1998-05-31 22:00:52,44
52,1998-05-31 22:00:53,46
53,1998-05-31 22:00:54,33
54,1998-05-31 22:00:55,36
55,1998-05-31 22:00:56,29
56,1998-05-31 22:00:57,38
57,1998-05-31 22:00:58,44
58,1998-05-31 22:00:59,44
59,1998-05-31 22:01:00,46
60,1998-05-31 22:01:01,50
61,1998-05-31 22:01:02,40
62,1998-05-31 22:01:03,41
63,1998-05-31 22:01:04,31
64,1998-05-31 22:01:05,61
65,1998-05-31 22:01:06,42
66,1998-05-31 22:01:07,46
67,1998-05-31 22:01:08,40
68,1998-05-31 22:01:09,56
69,1998-05-31 22:01:10,38
70,1998-05-31 22:01:11,33
71,1998-05-31 22:01:12,51
72,1998-05-31 22:01:13,52
73,1998-05-31 22:01:14,42
74,1998-05-31 22:01:15,44
75,1998-05-31 22:01:16,59
76,1998-05-31 22:01:17,36
77,1998-05-31 22:01:18,57
78,1998-05-31 22:01:19,59
79,1998-05-31 22:01:20,46
80,1998-05-31 22:01:21,43
81,1998-05-31 22:01:22,55
82,1998-05-31 22:01:23,49
83,1998-05-31 22:01:24,53
84,1998-05-31 22:01:25,39
85,1998-05-31 22:01:26,36
86,1998-05-31 22:01:27,42
87,1998-05-31 22:01:28,30
88,1998-05-31 22:01:29,50
89,1998-05-31 22:01:30,45
90,1998-05-31 22:01:31,35
91,1998-05-31 22:01:32,51
92,1998-05-31 22:01:33,40
93,1998-05-31 22:01:34,29
94,1998-05-31 22:01:35,39
95,1998-05-31 22:01:36,32
96,1998-05-31 22:01:37,41
97,1998-05-31 22:01:38,43
98,1998-05-31 22:01:39,49
99,1998-05-31 22:01:40,38
100,1998-05-31 22:01:41,47
101,1998-05-31 22:01:42,31
102,1998-05-31 22:01:43,47
103,1998-05-31 22:01:44,34
104,1998-05-31 22:01:45,44
105,1998-05-31 22:01:46,41
106,1998-05-31 22:01:47,44
107,1998-05-31 22:01:48,34
108,1998-05-31 22:01:49,36
109,1998-05-31 22:01:50,37
110,1998-05-31 22:01:51,43
111,1998-05-31 22:01:52,41
112,1998-05-31 22:01:53,34
113,1998-05-31 22:01:54,38
114,1998-05-31 22:01:55,36
115,1998-05-31 22:01:56,30
116,1998-05-31 22:01:57,44
117,1998-05-31 22:01:58,37
118,1998-05-31 22:01:59,51
